measuredAt,value
2025-05-30T10:09:29.182039+00:00,64.0
2025-05-30T10:11:18.423591+00:00,63.0
2025-05-30T10:11:48.436487+00:00,63.0
2025-05-30T10:12:18.425293+00:00,65.0
2025-05-30T10:12:48.432367+00:00,64.0
2025-05-30T10:13:18.434263+00:00,64.0
2025-05-30T10:13:48.442034+00:00,64.0
2025-05-30T10:14:18.443843+00:00,64.0
2025-05-30T10:14:48.444848+00:00,64.0
2025-05-30T10:15:18.458425+00:00,64.0
2025-05-30T10:15:48.455447+00:00,65.0
2025-05-30T10:16:18.454782+00:00,63.0
2025-05-30T10:16:48.462880+00:00,65.0
2025-05-30T10:17:18.464836+00:00,64.0
2025-05-30T10:17:48.462854+00:00,64.0
2025-05-30T10:18:18.474787+00:00,64.0
2025-05-30T10:18:48.474636+00:00,65.0
2025-05-30T10:19:18.475503+00:00,66.0
2025-05-30T10:19:48.524890+00:00,65.0
2025-05-30T10:20:18.484853+00:00,64.0
2025-05-30T10:20:48.482642+00:00,64.0
2025-05-30T10:21:18.385751+00:00,64.0
2025-05-30T10:21:48.384769+00:00,64.0
2025-05-30T10:22:18.395249+00:00,65.0
2025-05-30T10:22:48.393728+00:00,63.0
2025-05-30T10:23:18.395779+00:00,68.0
2025-05-30T10:23:48.506019+00:00,67.0
2025-05-30T10:24:18.403983+00:00,65.0
2025-05-30T10:24:48.414004+00:00,65.0
2025-05-30T10:25:18.415546+00:00,64.0
2025-05-30T10:25:48.425642+00:00,64.0
2025-05-30T10:26:18.424245+00:00,65.0
2025-05-30T10:26:48.425748+00:00,65.0
2025-05-30T10:27:18.433635+00:00,65.0
2025-05-30T10:27:48.436199+00:00,64.0
2025-05-30T10:28:18.448296+00:00,64.0
2025-05-30T10:28:48.444631+00:00,63.0
2025-05-30T10:29:18.443939+00:00,65.0
2025-05-30T10:29:48.444121+00:00,64.0
2025-05-30T10:30:18.457112+00:00,65.0
2025-05-30T10:30:48.454960+00:00,65.0
2025-05-30T10:31:18.454727+00:00,64.0
2025-05-30T10:31:48.476608+00:00,65.0
2025-05-30T10:32:18.467282+00:00,66.0
2025-05-30T10:32:48.466108+00:00,65.0
2025-05-30T10:33:18.475942+00:00,65.0
2025-05-30T10:33:48.475298+00:00,65.0
2025-05-30T10:34:18.476802+00:00,65.0
2025-05-30T10:34:48.485176+00:00,66.0
2025-05-30T10:35:18.486796+00:00,66.0
2025-05-30T10:35:48.386768+00:00,66.0
2025-05-30T10:36:18.384391+00:00,65.0
2025-05-30T10:36:48.406826+00:00,67.0
2025-05-30T10:37:18.424589+00:00,64.0
2025-05-30T10:37:48.395102+00:00,65.0
2025-05-30T10:38:18.415675+00:00,65.0
2025-05-30T10:38:48.406953+00:00,65.0
2025-05-30T10:39:18.415775+00:00,65.0
2025-05-30T10:39:48.416112+00:00,67.0
2025-05-30T10:40:18.537549+00:00,66.0
2025-05-30T10:40:48.426874+00:00,65.0
2025-05-30T10:41:18.425767+00:00,66.0
2025-05-30T10:41:48.427736+00:00,65.0
2025-05-30T10:42:33.487161+00:00,66.0
2025-05-30T10:42:48.437130+00:00,65.0
2025-05-30T10:43:18.436302+00:00,67.0
